adname,adress,divisions,lng,lat,bd09lng,bd09lat,wgs84lng,wgs84lat
华盛文化广场,新奉公路与头桥东路交叉口东北100米,奉贤区,121.6430374,30.94937367,121.6495603,30.95524095,121.6388235,30.95169087
华东理工大学奉贤校区慢时广场,海思路999号华东理工大学奉贤校区,奉贤区,121.4976289,30.83134261,121.5042122,30.83697877,121.4932228,30.83357775
美谷公园,万顺路2089号,奉贤区,121.510579,30.96249135,121.5171605,30.96818197,121.5062084,30.96468859
华东理工大学奉贤校区亲水广场,海思路999号华东理工大学奉贤校区,奉贤区,121.4976609,30.83225419,121.5042451,30.83789049,121.4932548,30.8344889
明星村六岔道公园,沿钱公路与西星港路交叉口西60米,奉贤区,121.5383868,30.97883707,121.5448635,30.98499621,121.5341071,30.98110075
护民村草地公园,海民南北路与平庄东路交叉口东南40米,奉贤区,121.6286287,30.89320473,121.6352188,30.89887817,121.6244394,30.89557538
冷泾广场,庄行镇冷泾新村,奉贤区,121.3956539,30.90605155,121.4022111,30.91180146,121.3910316,30.9080678
四团幸福公园,四团镇港佳路与港坤路交叉口,奉贤区,121.7334076,30.93673951,121.7399767,30.94239123,121.7290564,30.93892214
庄行镇农艺(郊野)公园,西闸公路,奉贤区,121.4080852,30.98239261,121.4146124,30.98836071,121.4034562,30.9843634
柘林公园,新北路与新粮路交叉口东340米,奉贤区,121.4633495,30.86852004,121.4698372,30.87464929,121.4588252,30.87063744
人和广场,金海公路与泽丰路交叉口东260米,奉贤区,121.4902118,30.93276938,121.4967735,30.93844685,121.4857706,30.93492328
泰日小匝港公园,泰日新建路,奉贤区,121.5562502,30.98416109,121.5626775,30.99052346,121.552017,30.98645956
贤浦公园,贤浦路2554号,奉贤区,121.5047627,30.95954901,121.5113522,30.96519565,121.5003715,30.96173065
