FID,name,province,city,area,address,uid,detail_url,tag,wgs84_lng,wgs84_lat,行业大,行业子,Get_time,ha,value,visit_num
159,兰溪青年公园,上海市,上海市,普陀区,上海市普陀区兰溪路152号(近桂巷路),d991e1166a83cd541f3894c9,http://api.map.baidu.com/place/detail?uid=d991e1166a83cd541f3894c9&output=html&source=placeapi_v2,旅游景点;公园,121.4001635,31.24270019,旅游景点,公园,2021/10/25 0:53,0.84359,1,4891
160,光启公园,上海市,上海市,徐汇区,上海市徐汇区南丹路17号(近汇站路),dbf4d6ee0ce38c2b6fa3ccd9,http://api.map.baidu.com/place/detail?uid=dbf4d6ee0ce38c2b6fa3ccd9&output=html&source=placeapi_v2,旅游景点;公园,121.4300237,31.19149893,旅游景点,公园,2021/10/25 0:53,1.23121,1,19951
161,静安公园,上海市,上海市,静安区,南京西路1649号,dbf4d6ee0d3c8f2b6ea3cc88,http://api.map.baidu.com/place/detail?uid=dbf4d6ee0d3c8f2b6ea3cc88&output=html&source=placeapi_v2,旅游景点;公园,121.4420708,31.22400602,旅游景点,公园,2021/10/25 0:53,3.77988,1,50340
162,真新栅桥绿地,上海市,上海市,嘉定区,上海市嘉定区新郁支路1911号,ddf61b386803e9a5eb1e97ee,http://api.map.baidu.com/place/detail?uid=ddf61b386803e9a5eb1e97ee&output=html&source=placeapi_v2,旅游景点;公园,121.3538344,31.25408847,旅游景点,公园,2021/10/25 0:53,0.6619,1,1434
163,仙霞公园,上海市,上海市,长宁区,上海市长宁区虹古路333号,df79f2d870edd9b18505bfdd,http://api.map.baidu.com/place/detail?uid=df79f2d870edd9b18505bfdd&output=html&source=placeapi_v2,旅游景点;公园,121.386131,31.20633012,旅游景点,公园,2021/10/25 0:53,0.74632,1,5075
164,凉城公园,上海市,上海市,虹口区,上海市虹口区凉城路800号,dfc496b6db0524ae8936ee31,http://api.map.baidu.com/place/detail?uid=dfc496b6db0524ae8936ee31&output=html&source=placeapi_v2,旅游景点;公园,121.4673597,31.29995881,旅游景点,公园,2021/10/25 0:53,1.1343,1,446
165,长寿公园,上海市,上海市,普陀区,上海市普陀区长寿路260号,e116be541e3ee27ac91b95c9,http://api.map.baidu.com/place/detail?uid=e116be541e3ee27ac91b95c9&output=html&source=placeapi_v2,旅游景点;公园,121.4348285,31.24527096,旅游景点,公园,2021/10/25 0:53,4.56297,1,36562
166,张江艺术公园,上海市,上海市,浦东新区,上海市浦东新区松涛路666号,e3a7fd1398c21f5329b97cb0,http://api.map.baidu.com/place/detail?uid=e3a7fd1398c21f5329b97cb0&output=html&source=placeapi_v2,旅游景点;公园,121.5799084,31.20552837,旅游景点,公园,2021/10/25 0:53,4.22518,1,6707
167,浦东金海湿地公园,上海市,上海市,浦东新区,民唐路198号,e46a147e71361b5ac92915a4,http://api.map.baidu.com/place/detail?uid=e46a147e71361b5ac92915a4&output=html&source=placeapi_v2,旅游景点;公园,121.6424691,31.25276015,旅游景点,公园,2021/10/25 0:53,51.86527,1,0
168,工农公园,上海市,上海市,杨浦区,上海市杨浦区包头路929号(近殷行路),e889a7447868a5b48605bf26,http://api.map.baidu.com/place/detail?uid=e889a7447868a5b48605bf26&output=html&source=placeapi_v2,旅游景点;公园,121.5334365,31.32787961,旅游景点,公园,2021/10/25 0:53,1.55065,1,0
169,长青公园,上海市,上海市,浦东新区,上海市浦东新区长清路11号,e889a74479fba4b48705bfb7,http://api.map.baidu.com/place/detail?uid=e889a74479fba4b48705bfb7&output=html&source=placeapi_v2,旅游景点;公园,121.4841422,31.17596431,旅游景点,公园,2021/10/25 0:53,1.85136,1,4006
170,憩园,上海市,上海市,徐汇区,上海市徐汇区宛平南路600号,e93761f6a06d900f223bf207,http://api.map.baidu.com/place/detail?uid=e93761f6a06d900f223bf207&output=html&source=placeapi_v2,旅游景点;公园,121.4441326,31.18872684,旅游景点,公园,2021/10/25 0:53,0.28965,1,365
171,虹桥锦绣绿地,上海市,上海市,闵行区,上海市闵行区陶然居西北(吴中路南),ea21a26f4c33638d93114c97,http://api.map.baidu.com/place/detail?uid=ea21a26f4c33638d93114c97&output=html&source=placeapi_v2,旅游景点;植物园,121.3719424,31.17582585,旅游景点,植物园,2021/10/25 0:53,1.41596,1,10825
